areaCode,areaName,areaType,date,newCasesByPublishDateRollingSum
E12000001,North East,region,04/10/2021,9081
E12000001,North East,region,03/10/2021,9124
E12000001,North East,region,02/10/2021,9265
E12000001,North East,region,01/10/2021,9085
E12000001,North East,region,30/09/2021,9395
E12000001,North East,region,29/09/2021,9650
E12000001,North East,region,28/09/2021,9835
E12000001,North East,region,27/09/2021,9338
E12000001,North East,region,26/09/2021,9455
E12000001,North East,region,25/09/2021,9276
E12000001,North East,region,24/09/2021,9429
E12000001,North East,region,23/09/2021,9310
E12000001,North East,region,22/09/2021,9081
E12000001,North East,region,21/09/2021,8782
E12000001,North East,region,20/09/2021,8845
E12000001,North East,region,19/09/2021,8486
E12000001,North East,region,18/09/2021,8563
E12000001,North East,region,17/09/2021,8883
E12000001,North East,region,16/09/2021,9396
E12000001,North East,region,15/09/2021,9721
E12000001,North East,region,14/09/2021,10013
E12000001,North East,region,13/09/2021,10454
E12000001,North East,region,12/09/2021,11009
E12000001,North East,region,11/09/2021,11152
E12000001,North East,region,10/09/2021,11156
E12000001,North East,region,09/09/2021,10662
E12000001,North East,region,08/09/2021,10820
E12000001,North East,region,07/09/2021,10558
E12000001,North East,region,06/09/2021,9847
E12000001,North East,region,05/09/2021,9285
E12000001,North East,region,04/09/2021,8915
E12000001,North East,region,03/09/2021,8770
E12000001,North East,region,02/09/2021,8739
E12000001,North East,region,01/09/2021,8463
E12000001,North East,region,31/08/2021,8589
E12000001,North East,region,30/08/2021,8623
E12000001,North East,region,29/08/2021,8792
E12000001,North East,region,28/08/2021,9091
E12000001,North East,region,27/08/2021,8829
E12000001,North East,region,26/08/2021,8576
E12000001,North East,region,25/08/2021,8386
E12000001,North East,region,24/08/2021,8161
E12000001,North East,region,23/08/2021,8185
E12000001,North East,region,22/08/2021,7939
E12000001,North East,region,21/08/2021,7567
E12000001,North East,region,20/08/2021,7601
E12000001,North East,region,19/08/2021,7678
E12000001,North East,region,18/08/2021,7525
E12000001,North East,region,17/08/2021,7481
