areaCode,areaName,areaType,date,covidOccupiedMVBeds
E92000001,England,nation,05/10/2021,661
E92000001,England,nation,04/10/2021,632
E92000001,England,nation,03/10/2021,639
E92000001,England,nation,02/10/2021,630
E92000001,England,nation,01/10/2021,671
E92000001,England,nation,30/09/2021,672
E92000001,England,nation,29/09/2021,671
E92000001,England,nation,28/09/2021,681
E92000001,England,nation,27/09/2021,685
E92000001,England,nation,26/09/2021,689
E92000001,England,nation,25/09/2021,723
E92000001,England,nation,24/09/2021,730
E92000001,England,nation,23/09/2021,757
E92000001,England,nation,22/09/2021,783
E92000001,England,nation,21/09/2021,774
E92000001,England,nation,20/09/2021,811
E92000001,England,nation,19/09/2021,824
E92000001,England,nation,18/09/2021,829
E92000001,England,nation,17/09/2021,844
E92000001,England,nation,16/09/2021,849
E92000001,England,nation,15/09/2021,910
E92000001,England,nation,14/09/2021,888
E92000001,England,nation,13/09/2021,886
E92000001,England,nation,12/09/2021,884
E92000001,England,nation,11/09/2021,865
E92000001,England,nation,10/09/2021,898
E92000001,England,nation,09/09/2021,887
E92000001,England,nation,08/09/2021,896
E92000001,England,nation,07/09/2021,885
E92000001,England,nation,06/09/2021,909
E92000001,England,nation,05/09/2021,878
E92000001,England,nation,04/09/2021,880
E92000001,England,nation,03/09/2021,889
E92000001,England,nation,02/09/2021,897
E92000001,England,nation,01/09/2021,890
E92000001,England,nation,31/08/2021,879
E92000001,England,nation,30/08/2021,859
E92000001,England,nation,29/08/2021,850
E92000001,England,nation,28/08/2021,835
E92000001,England,nation,27/08/2021,874
E92000001,England,nation,26/08/2021,872
E92000001,England,nation,25/08/2021,871
E92000001,England,nation,24/08/2021,857
E92000001,England,nation,23/08/2021,845
E92000001,England,nation,22/08/2021,863
E92000001,England,nation,21/08/2021,858
E92000001,England,nation,20/08/2021,857
E92000001,England,nation,19/08/2021,835
E92000001,England,nation,18/08/2021,812
E92000001,England,nation,17/08/2021,825
E92000001,England,nation,16/08/2021,816
E92000001,England,nation,15/08/2021,800
E92000001,England,nation,14/08/2021,797
E92000001,England,nation,13/08/2021,793
E92000001,England,nation,12/08/2021,783
E92000001,England,nation,11/08/2021,777
E92000001,England,nation,10/08/2021,782
E92000001,England,nation,09/08/2021,762
E92000001,England,nation,08/08/2021,765
E92000001,England,nation,07/08/2021,760
E92000001,England,nation,06/08/2021,765
E92000001,England,nation,05/08/2021,770
E92000001,England,nation,04/08/2021,772
E92000001,England,nation,03/08/2021,780
E92000001,England,nation,02/08/2021,791
E92000001,England,nation,01/08/2021,769
E92000001,England,nation,31/07/2021,789
E92000001,England,nation,30/07/2021,785
E92000001,England,nation,29/07/2021,765
E92000001,England,nation,28/07/2021,748
E92000001,England,nation,27/07/2021,738
E92000001,England,nation,26/07/2021,712
E92000001,England,nation,25/07/2021,675
E92000001,England,nation,24/07/2021,659
E92000001,England,nation,23/07/2021,625
E92000001,England,nation,22/07/2021,612
E92000001,England,nation,21/07/2021,567
E92000001,England,nation,20/07/2021,544
E92000001,England,nation,19/07/2021,543
E92000001,England,nation,18/07/2021,512
E92000001,England,nation,17/07/2021,514
E92000001,England,nation,16/07/2021,512
E92000001,England,nation,15/07/2021,493
E92000001,England,nation,14/07/2021,489
E92000001,England,nation,13/07/2021,470
E92000001,England,nation,12/07/2021,433
E92000001,England,nation,11/07/2021,408
E92000001,England,nation,10/07/2021,398
E92000001,England,nation,09/07/2021,393
E92000001,England,nation,08/07/2021,376
E92000001,England,nation,07/07/2021,377
E92000001,England,nation,06/07/2021,353
E92000001,England,nation,05/07/2021,330
E92000001,England,nation,04/07/2021,305
E92000001,England,nation,03/07/2021,296
E92000001,England,nation,02/07/2021,297
E92000001,England,nation,01/07/2021,279
E92000001,England,nation,30/06/2021,264
E92000001,England,nation,29/06/2021,259
E92000001,England,nation,28/06/2021,272
E92000001,England,nation,27/06/2021,244
E92000001,England,nation,26/06/2021,236
E92000001,England,nation,25/06/2021,238
E92000001,England,nation,24/06/2021,240
E92000001,England,nation,23/06/2021,227
E92000001,England,nation,22/06/2021,229
E92000001,England,nation,21/06/2021,212
E92000001,England,nation,20/06/2021,196
E92000001,England,nation,19/06/2021,203
E92000001,England,nation,18/06/2021,210
E92000001,England,nation,17/06/2021,197
E92000001,England,nation,16/06/2021,192
E92000001,England,nation,15/06/2021,187
E92000001,England,nation,14/06/2021,170
E92000001,England,nation,13/06/2021,171
E92000001,England,nation,12/06/2021,152
E92000001,England,nation,11/06/2021,146
E92000001,England,nation,10/06/2021,140
E92000001,England,nation,09/06/2021,141
E92000001,England,nation,08/06/2021,140
E92000001,England,nation,07/06/2021,133
E92000001,England,nation,06/06/2021,131
E92000001,England,nation,05/06/2021,124
E92000001,England,nation,04/06/2021,119
E92000001,England,nation,03/06/2021,124
E92000001,England,nation,02/06/2021,116
E92000001,England,nation,01/06/2021,123
E92000001,England,nation,31/05/2021,110
E92000001,England,nation,30/05/2021,115
E92000001,England,nation,29/05/2021,112
E92000001,England,nation,28/05/2021,116
E92000001,England,nation,27/05/2021,110
E92000001,England,nation,26/05/2021,115
E92000001,England,nation,25/05/2021,117
E92000001,England,nation,24/05/2021,113
E92000001,England,nation,23/05/2021,111
E92000001,England,nation,22/05/2021,113
E92000001,England,nation,21/05/2021,117
E92000001,England,nation,20/05/2021,115
E92000001,England,nation,19/05/2021,113
E92000001,England,nation,18/05/2021,114
E92000001,England,nation,17/05/2021,117
E92000001,England,nation,16/05/2021,116
E92000001,England,nation,15/05/2021,115
E92000001,England,nation,14/05/2021,115
E92000001,England,nation,13/05/2021,119
E92000001,England,nation,12/05/2021,123
E92000001,England,nation,11/05/2021,126
E92000001,England,nation,10/05/2021,135
E92000001,England,nation,09/05/2021,131
E92000001,England,nation,08/05/2021,135
E92000001,England,nation,07/05/2021,145
E92000001,England,nation,06/05/2021,144
E92000001,England,nation,05/05/2021,161
E92000001,England,nation,04/05/2021,162
E92000001,England,nation,03/05/2021,168
E92000001,England,nation,02/05/2021,172
E92000001,England,nation,01/05/2021,167
E92000001,England,nation,30/04/2021,170
E92000001,England,nation,29/04/2021,178
E92000001,England,nation,28/04/2021,188
E92000001,England,nation,27/04/2021,196
E92000001,England,nation,26/04/2021,208
E92000001,England,nation,25/04/2021,211
E92000001,England,nation,24/04/2021,220
E92000001,England,nation,23/04/2021,221
E92000001,England,nation,22/04/2021,237
E92000001,England,nation,21/04/2021,249
E92000001,England,nation,20/04/2021,273
E92000001,England,nation,19/04/2021,291
E92000001,England,nation,18/04/2021,283
E92000001,England,nation,17/04/2021,292
E92000001,England,nation,16/04/2021,298
E92000001,England,nation,15/04/2021,294
E92000001,England,nation,14/04/2021,315
E92000001,England,nation,13/04/2021,333
E92000001,England,nation,12/04/2021,337
E92000001,England,nation,11/04/2021,343
E92000001,England,nation,10/04/2021,342
E92000001,England,nation,09/04/2021,362
E92000001,England,nation,08/04/2021,377
E92000001,England,nation,07/04/2021,393
E92000001,England,nation,06/04/2021,406
E92000001,England,nation,05/04/2021,416
E92000001,England,nation,04/04/2021,422
E92000001,England,nation,03/04/2021,433
E92000001,England,nation,02/04/2021,436
E92000001,England,nation,01/04/2021,470
E92000001,England,nation,31/03/2021,501
E92000001,England,nation,30/03/2021,518
E92000001,England,nation,29/03/2021,532
E92000001,England,nation,28/03/2021,532
E92000001,England,nation,27/03/2021,537
