,Unnamed: 0,Unnamed: 0.1,country,year,value
0,0,0,United Kingdom,1960,17.63844657
1,1,1,United Kingdom,1961,17.6641221
2,2,2,United Kingdom,1962,17.98346418
3,3,3,United Kingdom,1963,17.28342164
4,4,4,United Kingdom,1964,16.87888573
5,5,5,United Kingdom,1965,17.67900319
6,6,6,United Kingdom,1966,18.03112286
7,7,7,United Kingdom,1967,18.84899902
8,8,8,United Kingdom,1968,18.28016526
9,9,9,United Kingdom,1969,17.74988563
10,10,10,United Kingdom,1970,17.79234174
11,11,11,United Kingdom,1971,18.13559152
12,12,12,United Kingdom,1972,18.49379316
13,13,13,United Kingdom,1973,18.30956816
14,14,14,United Kingdom,1974,20.20508261
15,15,15,United Kingdom,1975,22.48921518
16,16,16,United Kingdom,1976,22.230472
17,17,17,United Kingdom,1977,20.83471979
18,18,18,United Kingdom,1978,20.32204347
19,19,19,United Kingdom,1979,19.91509265
20,20,20,United Kingdom,1980,21.35874939
21,21,21,United Kingdom,1981,21.80140104
22,22,22,United Kingdom,1982,21.67072765
23,23,23,United Kingdom,1983,21.4442624
24,24,24,United Kingdom,1984,21.1454209
25,25,25,United Kingdom,1985,20.35664247
26,26,26,United Kingdom,1986,20.32905284
27,27,27,United Kingdom,1987,19.61990021
28,28,28,United Kingdom,1988,18.83815401
29,29,29,United Kingdom,1989,18.41385549
30,30,30,United Kingdom,1990,18.61672121
31,31,31,United Kingdom,1991,19.47505286
32,32,32,United Kingdom,1992,19.9548638
33,33,33,United Kingdom,1993,19.26153046
34,34,34,United Kingdom,1994,18.90814779
35,35,35,United Kingdom,1995,17.14305542
36,36,36,United Kingdom,1996,16.71242691
37,37,37,United Kingdom,1997,16.16191227
38,38,38,United Kingdom,1998,16.15908596
39,39,39,United Kingdom,1999,16.61136502
40,40,40,United Kingdom,2000,16.80910667
41,41,41,United Kingdom,2001,17.46840892
42,42,42,United Kingdom,2002,18.27357913
43,43,43,United Kingdom,2003,18.95393046
44,44,44,United Kingdom,2004,19.5725256
45,45,45,United Kingdom,2005,19.78991241
46,46,46,United Kingdom,2006,19.91957675
47,47,47,United Kingdom,2007,19.74264028
48,48,48,United Kingdom,2008,20.50263676
49,49,49,United Kingdom,2009,22.06839723
50,50,50,United Kingdom,2010,21.64191511
51,51,51,United Kingdom,2011,21.01417892
52,52,52,United Kingdom,2012,20.82335828
53,53,53,United Kingdom,2013,20.17018136
54,54,54,United Kingdom,2014,19.87103652
55,55,55,United Kingdom,2015,19.51667004
56,56,56,United Kingdom,2016,19.14998255
57,57,57,United Kingdom,2017,18.72061339
58,58,58,United Kingdom,2018,18.60222655
59,59,59,United Kingdom,2019,19.07865814
60,60,60,United Kingdom,2020,22.81103711
