country,year,tax rate
UK,1977,52
UK,1978,52
UK,1979,52
UK,1980,52
UK,1981,52
UK,1982,52
UK,1983,50
UK,1984,45
UK,1985,40
UK,1986,35
UK,1987,35
UK,1988,35
UK,1989,35
UK,1990,34
UK,1991,33
UK,1992,33
UK,1993,33
UK,1994,33
UK,1995,33
UK,1996,33
UK,1997,31
UK,1998,31
UK,1999,30
UK,2000,30
UK,2001,30
UK,2002,30
UK,2003,30
UK,2004,30
UK,2005,30
UK,2006,30
UK,2007,30
UK,2008,28
UK,2009,28
UK,2010,28
UK,2011,26
UK,2012,24
UK,2013,23
UK,2014,21
UK,2015,20
UK,2016,20
UK,2017,19
UK,2018,19
UK,2019,19
UK,2020,19
UK,2021,19
US,1981,46
US,1982,46
US,1983,46
US,1984,46
US,1985,46
US,1986,46
US,1987,40
US,1988,34
US,1989,34
US,1990,34
US,1991,34
US,1992,34
US,1993,35
US,1994,35
US,1995,35
US,1996,35
US,1997,35
US,1998,35
US,1999,35
US,2000,35
US,2001,35
US,2002,35
US,2003,35
US,2004,35
US,2005,35
US,2006,35
US,2007,35
US,2008,35
US,2009,35
US,2010,35
US,2011,35
US,2012,35
US,2013,35
US,2014,35
US,2015,35
US,2016,35
US,2017,35
US,2018,35
US,2019,21
US,2020,21
US,2021,21
