areaCode,areaName,areaType,date,cumCasesBySpecimenDateRate
E12000001,North East,region,04/10/2021,14222.2
E12000001,North East,region,03/10/2021,14191.8
E12000001,North East,region,02/10/2021,14150.9
E12000001,North East,region,01/10/2021,14116.9
E12000001,North East,region,30/09/2021,14076.5
E12000001,North East,region,29/09/2021,14033.1
E12000001,North East,region,28/09/2021,13986.3
E12000001,North East,region,27/09/2021,13937.3
E12000001,North East,region,26/09/2021,13881.2
E12000001,North East,region,25/09/2021,13835.9
E12000001,North East,region,24/09/2021,13793
E12000001,North East,region,23/09/2021,13746.3
E12000001,North East,region,22/09/2021,13691.5
E12000001,North East,region,21/09/2021,13638.5
E12000001,North East,region,20/09/2021,13576.5
E12000001,North East,region,19/09/2021,13514.6
E12000001,North East,region,18/09/2021,13466.7
E12000001,North East,region,17/09/2021,13427.7
E12000001,North East,region,16/09/2021,13383.2
E12000001,North East,region,15/09/2021,13335.2
E12000001,North East,region,14/09/2021,13285.8
E12000001,North East,region,13/09/2021,13241.5
E12000001,North East,region,12/09/2021,13188.8
E12000001,North East,region,11/09/2021,13150
E12000001,North East,region,10/09/2021,13110.9
E12000001,North East,region,09/09/2021,13063
E12000001,North East,region,08/09/2021,13006.9
E12000001,North East,region,07/09/2021,12947.5
E12000001,North East,region,06/09/2021,12883.7
E12000001,North East,region,05/09/2021,12814
E12000001,North East,region,04/09/2021,12764.5
E12000001,North East,region,03/09/2021,12715.9
E12000001,North East,region,02/09/2021,12659.7
E12000001,North East,region,01/09/2021,12601.1
E12000001,North East,region,31/08/2021,12540.2
E12000001,North East,region,30/08/2021,12477.3
E12000001,North East,region,29/08/2021,12428
E12000001,North East,region,28/08/2021,12391.9
E12000001,North East,region,27/08/2021,12354.9
E12000001,North East,region,26/08/2021,12311.3
E12000001,North East,region,25/08/2021,12262.6
E12000001,North East,region,24/08/2021,12211.6
E12000001,North East,region,23/08/2021,12159.6
E12000001,North East,region,22/08/2021,12107
E12000001,North East,region,21/08/2021,12066.8
E12000001,North East,region,20/08/2021,12029.1
E12000001,North East,region,19/08/2021,11987.2
