areaCode,areaName,areaType,date,cumVaccinationCompleteCoverageByVaccinationDatePercentage
E12000001,North East,region,10/10/2021,74.1
E12000001,North East,region,10/9/2021,74
E12000001,North East,region,10/8/2021,74
E12000001,North East,region,10/7/2021,73.9
E12000001,North East,region,10/6/2021,73.9
E12000001,North East,region,10/5/2021,73.8
E12000001,North East,region,10/4/2021,73.8
E12000001,North East,region,10/3/2021,73.8
E12000001,North East,region,10/2/2021,73.7
E12000001,North East,region,10/1/2021,73.7
E12000001,North East,region,9/30/2021,73.6
E12000001,North East,region,9/29/2021,73.5
E12000001,North East,region,9/28/2021,73.5
E12000001,North East,region,9/27/2021,73.4
E12000001,North East,region,9/26/2021,73.4
E12000001,North East,region,9/25/2021,73.3
E12000001,North East,region,9/24/2021,73.3
E12000001,North East,region,9/23/2021,73.2
E12000001,North East,region,9/22/2021,73.1
E12000001,North East,region,9/21/2021,73
E12000001,North East,region,9/20/2021,73
E12000001,North East,region,9/19/2021,72.9
E12000001,North East,region,9/18/2021,72.8
E12000001,North East,region,9/17/2021,72.7
E12000001,North East,region,9/16/2021,72.5
E12000001,North East,region,9/15/2021,72.4
E12000001,North East,region,9/14/2021,72.3
E12000001,North East,region,9/13/2021,72.2
E12000001,North East,region,9/12/2021,72.1
E12000001,North East,region,9/11/2021,72
E12000001,North East,region,9/10/2021,71.8
E12000001,North East,region,9/9/2021,71.6
E12000001,North East,region,9/8/2021,71.4
E12000001,North East,region,9/7/2021,71.3
E12000001,North East,region,9/6/2021,71.1
E12000001,North East,region,9/5/2021,71
E12000001,North East,region,9/4/2021,70.9
E12000001,North East,region,9/3/2021,70.7
E12000001,North East,region,9/2/2021,70.5
E12000001,North East,region,9/1/2021,70.2
E12000001,North East,region,8/31/2021,70
E12000001,North East,region,8/30/2021,69.8
E12000001,North East,region,8/29/2021,69.7
E12000001,North East,region,8/28/2021,69.6
E12000001,North East,region,8/27/2021,69.4
E12000001,North East,region,8/26/2021,69.2
E12000001,North East,region,8/25/2021,68.9
E12000001,North East,region,8/24/2021,68.7
E12000001,North East,region,8/23/2021,68.5
E12000001,North East,region,8/22/2021,68.3
E12000001,North East,region,8/21/2021,68.1
E12000001,North East,region,8/20/2021,67.8
E12000001,North East,region,8/19/2021,67.5
E12000001,North East,region,8/18/2021,67.3
E12000001,North East,region,8/17/2021,67
E12000001,North East,region,8/16/2021,66.8
E12000001,North East,region,8/15/2021,66.6
E12000001,North East,region,8/14/2021,66.4
E12000001,North East,region,8/13/2021,66.1
E12000001,North East,region,8/12/2021,65.8
E12000001,North East,region,8/11/2021,65.5
E12000001,North East,region,8/10/2021,65.3
E12000001,North East,region,8/9/2021,65.1
E12000001,North East,region,8/8/2021,65
E12000001,North East,region,8/7/2021,64.7
E12000001,North East,region,8/6/2021,64.4
E12000001,North East,region,8/5/2021,64.2
E12000001,North East,region,8/4/2021,63.9
E12000001,North East,region,8/3/2021,63.6
E12000001,North East,region,8/2/2021,63.5
E12000001,North East,region,8/1/2021,63.3
E12000001,North East,region,7/31/2021,63.2
E12000001,North East,region,7/30/2021,62.9
E12000001,North East,region,7/29/2021,62.6
