,year,value,date
0,1960,17.63844657,1960-01-01
1,1961,17.664122100000004,1961-01-01
2,1962,17.98346418,1962-01-01
3,1963,17.28342164,1963-01-01
4,1964,16.87888573,1964-01-01
5,1965,17.67900319,1965-01-01
6,1966,18.03112286,1966-01-01
7,1967,18.84899902,1967-01-01
8,1968,18.28016526,1968-01-01
9,1969,17.74988563,1969-01-01
10,1970,17.79234174,1970-01-01
11,1971,18.13559152,1971-01-01
12,1972,18.49379316,1972-01-01
13,1973,18.30956816,1973-01-01
14,1974,20.20508261,1974-01-01
15,1975,22.48921518,1975-01-01
16,1976,22.230472,1976-01-01
17,1977,20.83471979,1977-01-01
18,1978,20.32204347,1978-01-01
19,1979,19.91509265,1979-01-01
20,1980,21.35874939,1980-01-01
21,1981,21.80140104,1981-01-01
22,1982,21.67072765,1982-01-01
23,1983,21.4442624,1983-01-01
24,1984,21.145420899999998,1984-01-01
25,1985,20.35664247,1985-01-01
26,1986,20.32905284,1986-01-01
27,1987,19.61990021,1987-01-01
28,1988,18.83815401,1988-01-01
29,1989,18.41385549,1989-01-01
30,1990,18.61672121,1990-01-01
31,1991,19.47505286,1991-01-01
32,1992,19.954863800000002,1992-01-01
33,1993,19.26153046,1993-01-01
34,1994,18.90814779,1994-01-01
35,1995,17.14305542,1995-01-01
36,1996,16.71242691,1996-01-01
37,1997,16.16191227,1997-01-01
38,1998,16.15908596,1998-01-01
39,1999,16.61136502,1999-01-01
40,2000,16.80910667,2000-01-01
41,2001,17.46840892,2001-01-01
42,2002,18.27357913,2002-01-01
43,2003,18.95393046,2003-01-01
44,2004,19.572525600000002,2004-01-01
45,2005,19.78991241,2005-01-01
46,2006,19.91957675,2006-01-01
47,2007,19.74264028,2007-01-01
48,2008,20.50263676,2008-01-01
49,2009,22.06839723,2009-01-01
50,2010,21.64191511,2010-01-01
51,2011,21.01417892,2011-01-01
52,2012,20.82335828,2012-01-01
53,2013,20.17018136,2013-01-01
54,2014,19.87103652,2014-01-01
55,2015,19.51667004,2015-01-01
56,2016,19.14998255,2016-01-01
57,2017,18.72061339,2017-01-01
58,2018,18.60222655,2018-01-01
59,2019,19.07865814,2019-01-01
60,2020,22.81103711,2020-01-01
