team,wages,points
Barcelona,512.7,107
PSG,414.4,103
Real Madrid,411,104
Manchester City,397.1,117
Liverpool,367.9,113
Bayern Munich,339.8,124
Chelsea,324.4,108
Manchester United,320.9,96
Juventus,284.3,99
Arsenal,265,80
Atletico Madrid,227.1,93
Borussia Dortmund,215.2,76
Spurs,204.9,83
Inter,198,58
Everton,186.2,3
Leicester City,178,14
AC Milan,160.9,36
AS Roma,155.1,82
RB Leipzig,147.1,71
West Ham,143.8,7
Napoli,140.7,62
Bayer Leverkusen,139.8,46
Lyon,132.5,62
Sevilla,124.4,86
Wolfsburg,124,22.5
Marseille,118.8,32
Burnley,113.1,2.5
Schalke,111,17
Valencia,109.5,40
Wolves,107,16
Athletic Bilbao,98.2,10
Ajax,92.4,72.5
Porto,90.6,78
Lille,89.8,21
Benfica,85.7,48
Real Betis,85.5,15
Eintracht Frankfurt,84,40
Hoffenheim,83.5,23
Villarreal,82.8,63
Hertha Berlin,80.2,4
Atalanta,74.1,58.5
Bordeaux,72.5,6
FC Koln,70.1,4
Espanyol,69.2,10
Lazio,67.3,48
Real Sociedad,65.3,22
Rennes,63.8,26
Celtic,61.4,31
Sporting CP,60.5,47.5
Saint-Etienne,58.1,4
Torino,56.9,2.5
RB Salzburg,53.7,63
Rangers,49,34.25
PSV,47.1,27
Nice,45.2,9
Getafe,44.9,11
Union Berlin,37,2
FC Basel,31.7,49
Strasbourg,30.7,2.5
Stade Reims,28.9,2
Granada,28.8,13
