areaCode,areaName,areaType,date,cumCasesBySpecimenDate
K02000001,United Kingdom,overview,30/09/2021,7872181
K02000001,United Kingdom,overview,29/09/2021,7842993
K02000001,United Kingdom,overview,28/09/2021,7809545
K02000001,United Kingdom,overview,27/09/2021,7773946
K02000001,United Kingdom,overview,26/09/2021,7733158
K02000001,United Kingdom,overview,25/09/2021,7701667
K02000001,United Kingdom,overview,24/09/2021,7673853
K02000001,United Kingdom,overview,23/09/2021,7642284
K02000001,United Kingdom,overview,22/09/2021,7607072
K02000001,United Kingdom,overview,21/09/2021,7570935
K02000001,United Kingdom,overview,20/09/2021,7532723
K02000001,United Kingdom,overview,19/09/2021,7492655
K02000001,United Kingdom,overview,18/09/2021,7462132
K02000001,United Kingdom,overview,17/09/2021,7435848
K02000001,United Kingdom,overview,16/09/2021,7406801
K02000001,United Kingdom,overview,15/09/2021,7377634
K02000001,United Kingdom,overview,14/09/2021,7347703
K02000001,United Kingdom,overview,13/09/2021,7316791
K02000001,United Kingdom,overview,12/09/2021,7282679
K02000001,United Kingdom,overview,11/09/2021,7259017
K02000001,United Kingdom,overview,10/09/2021,7235829
K02000001,United Kingdom,overview,09/09/2021,7207128
K02000001,United Kingdom,overview,08/09/2021,7173730
K02000001,United Kingdom,overview,07/09/2021,7138508
K02000001,United Kingdom,overview,06/09/2021,7100491
K02000001,United Kingdom,overview,05/09/2021,7056349
K02000001,United Kingdom,overview,04/09/2021,7025095
K02000001,United Kingdom,overview,03/09/2021,6993742
K02000001,United Kingdom,overview,02/09/2021,6955726
K02000001,United Kingdom,overview,01/09/2021,6914119
K02000001,United Kingdom,overview,31/08/2021,6871292
K02000001,United Kingdom,overview,30/08/2021,6826806
K02000001,United Kingdom,overview,29/08/2021,6792634
K02000001,United Kingdom,overview,28/08/2021,6766939
K02000001,United Kingdom,overview,27/08/2021,6739776
K02000001,United Kingdom,overview,26/08/2021,6706599
K02000001,United Kingdom,overview,25/08/2021,6669613
K02000001,United Kingdom,overview,24/08/2021,6631518
K02000001,United Kingdom,overview,23/08/2021,6594497
K02000001,United Kingdom,overview,22/08/2021,6555457
K02000001,United Kingdom,overview,21/08/2021,6527157
K02000001,United Kingdom,overview,20/08/2021,6499066
K02000001,United Kingdom,overview,19/08/2021,6467392
K02000001,United Kingdom,overview,18/08/2021,6431563
K02000001,United Kingdom,overview,17/08/2021,6393554
K02000001,United Kingdom,overview,16/08/2021,6356371
K02000001,United Kingdom,overview,15/08/2021,6320182
K02000001,United Kingdom,overview,14/08/2021,6295262
K02000001,United Kingdom,overview,13/08/2021,6270613
K02000001,United Kingdom,overview,12/08/2021,6242162
K02000001,United Kingdom,overview,11/08/2021,6211036
K02000001,United Kingdom,overview,10/08/2021,6178299
K02000001,United Kingdom,overview,09/08/2021,6147371
K02000001,United Kingdom,overview,08/08/2021,6115847
K02000001,United Kingdom,overview,07/08/2021,6093434
K02000001,United Kingdom,overview,06/08/2021,6071317
K02000001,United Kingdom,overview,05/08/2021,6043777
K02000001,United Kingdom,overview,04/08/2021,6012698
K02000001,United Kingdom,overview,03/08/2021,5980967
K02000001,United Kingdom,overview,02/08/2021,5951149
K02000001,United Kingdom,overview,01/08/2021,5921879
K02000001,United Kingdom,overview,31/07/2021,5901360
K02000001,United Kingdom,overview,30/07/2021,5881204
K02000001,United Kingdom,overview,29/07/2021,5856921
K02000001,United Kingdom,overview,28/07/2021,5829022
K02000001,United Kingdom,overview,27/07/2021,5799358
K02000001,United Kingdom,overview,26/07/2021,5770309
K02000001,United Kingdom,overview,25/07/2021,5740915
K02000001,United Kingdom,overview,24/07/2021,5719139
K02000001,United Kingdom,overview,23/07/2021,5696656
K02000001,United Kingdom,overview,22/07/2021,5669380
K02000001,United Kingdom,overview,21/07/2021,5638636
K02000001,United Kingdom,overview,20/07/2021,5603702
K02000001,United Kingdom,overview,19/07/2021,5564632
K02000001,United Kingdom,overview,18/07/2021,5517729
K02000001,United Kingdom,overview,17/07/2021,5482223
K02000001,United Kingdom,overview,16/07/2021,5444370
K02000001,United Kingdom,overview,15/07/2021,5390142
K02000001,United Kingdom,overview,14/07/2021,5329376
K02000001,United Kingdom,overview,13/07/2021,5275552
K02000001,United Kingdom,overview,12/07/2021,5228819
K02000001,United Kingdom,overview,11/07/2021,5185166
K02000001,United Kingdom,overview,10/07/2021,5155140
K02000001,United Kingdom,overview,09/07/2021,5127262
K02000001,United Kingdom,overview,08/07/2021,5095041
K02000001,United Kingdom,overview,07/07/2021,5061691
K02000001,United Kingdom,overview,06/07/2021,5023876
K02000001,United Kingdom,overview,05/07/2021,4988509
K02000001,United Kingdom,overview,04/07/2021,4954312
