country,time,value,gcap
Australia,2007-Q1,81.29218979,897248.4
Australia,2007-Q2,81.7862678,902701.7
Australia,2007-Q3,82.71964604,913003.7
Australia,2007-Q4,83.08266876,917010.5
Australia,2008-Q1,83.9426506,926502.4
Australia,2008-Q2,84.18259096,929150.7
Australia,2008-Q3,84.77956527,935739.7
Australia,2008-Q4,84.40213689,931573.9
Australia,2009-Q1,85.17163487,940067.1
Australia,2009-Q2,85.80808431,947091.8
Australia,2009-Q3,86.05157626,949779.3
Australia,2009-Q4,86.72927664,957259.3
Australia,2010-Q1,87.10604362,961417.8
Australia,2010-Q2,87.66398673,967576
Australia,2010-Q3,88.27803945,974353.5
Australia,2010-Q4,89.08901486,983304.5
Australia,2011-Q1,88.81979204,980333
Australia,2011-Q2,89.9478823,992784.1
Australia,2011-Q3,91.15869188,1006148.2
Australia,2011-Q4,92.17057646,1017316.7
Australia,2012-Q1,93.04430258,1026960.3
Australia,2012-Q2,93.71224516,1034332.6
Australia,2012-Q3,94.26619274,1040446.7
Australia,2012-Q4,94.75228873,1045811.9
Australia,2013-Q1,95.15500403,1050256.8
Australia,2013-Q2,95.53510515,1054452.1
Australia,2013-Q3,96.28508753,1062729.9
Australia,2013-Q4,97.08674909,1071578.1
Australia,2014-Q1,97.82232581,1079696.9
Australia,2014-Q2,98.24610599,1084374.3
Australia,2014-Q3,98.71290383,1089526.5
Australia,2014-Q4,99.10143091,1093814.8
Australia,2015-Q1,100,1103732.6
Australia,2015-Q2,100.0851474,1104672.4
Australia,2015-Q3,101.1285252,1116188.5
Australia,2015-Q4,101.7627549,1123188.7
Australia,2016-Q1,102.6351582,1132817.7
Australia,2016-Q2,103.2820268,1139957.4
Australia,2016-Q3,103.4181921,1141460.3
Australia,2016-Q4,104.5323025,1153757.1
Australia,2017-Q1,104.7804514,1156496
Australia,2017-Q2,105.4636966,1164037.2
Australia,2017-Q3,106.4897694,1175362.3
Australia,2017-Q4,106.9723228,1180688.4
Australia,2018-Q1,107.8948379,1190870.5
Australia,2018-Q2,108.8439627,1201346.3
Australia,2018-Q3,109.2912541,1206283.2
Australia,2018-Q4,109.4400582,1207925.6
Australia,2019-Q1,109.8968808,1212967.7
Australia,2019-Q2,110.6637242,1221431.6
Australia,2019-Q3,111.5525264,1231241.6
Australia,2019-Q4,111.9882841,1236051.2
Australia,2020-Q1,111.6594182,1232421.4
Australia,2020-Q2,104.074592,1148705.2
Australia,2020-Q3,107.6298372,1187945.6
Australia,2020-Q4,111.1478179,1226774.7
Australia,2021-Q1,113.1713696,1249109.3
Australia,2021-Q2,113.9672689,1257893.9
Australia,2021-Q3,111.7767293,1233716.2
Japan,2007-Q1,98.09944031,5096370.4
Japan,2007-Q2,98.15664029,5099342
Japan,2007-Q3,97.6371495,5072353.9
Japan,2007-Q4,98.02992489,5092759
Japan,2008-Q1,98.38045669,5110969.5
Japan,2008-Q2,97.82843143,5082291.2
Japan,2008-Q3,96.62233103,5019633
Japan,2008-Q4,94.20715437,4894162
Japan,2009-Q1,89.67275262,4658595
Japan,2009-Q2,91.45087593,4750970.4
Japan,2009-Q3,91.41979284,4749355.6
Japan,2009-Q4,92.5256104,4806804
Japan,2010-Q1,93.49586,4857209.5
Japan,2010-Q2,94.63495695,4916386.8
Japan,2010-Q3,96.35863288,5005933.6
Japan,2010-Q4,95.55263785,4964061.3
Japan,2011-Q1,94.54384429,4911653.4
Japan,2011-Q2,93.73935645,4869859.4
Japan,2011-Q3,96.02214507,4988452.7
Japan,2011-Q4,95.86961114,4980528.4
Japan,2012-Q1,97.21061156,5050194.8
Japan,2012-Q2,96.32403301,5004136.1
Japan,2012-Q3,95.96436762,4985451.1
Japan,2012-Q4,95.88490053,4981322.7
Japan,2013-Q1,97.22138131,5050754.3
Japan,2013-Q2,98.08582365,5095663
Japan,2013-Q3,99.03189088,5144812.2
Japan,2013-Q4,98.91702509,5138844.8
Japan,2014-Q1,99.73645006,5181414.8
Japan,2014-Q2,97.89725774,5085866.8
Japan,2014-Q3,97.99441455,5090914.2
Japan,2014-Q4,98.47670303,5115969.6
Japan,2015-Q1,100,5195106.5
Japan,2015-Q2,100.0910934,5199838.9
Japan,2015-Q3,100.1993183,5205461.3
Japan,2015-Q4,100.1060864,5200617.8
Japan,2016-Q1,100.8224028,5237831.2
Japan,2016-Q2,100.5962245,5226081
Japan,2016-Q3,100.787339,5236009.6
Japan,2016-Q4,101.0868998,5251572.1
Japan,2017-Q1,101.844326,5290921.2
Japan,2017-Q2,102.1010118,5304256.3
Japan,2017-Q3,102.9064678,5346100.6
Japan,2017-Q4,103.3233159,5367756.3
Japan,2018-Q1,103.3126944,5367204.5
Japan,2018-Q2,103.3604258,5369684.2
Japan,2018-Q3,102.6644786,5333529
Japan,2018-Q4,103.1091721,5356631.3
Japan,2019-Q1,103.4306669,5373333.3
Japan,2019-Q2,103.6326243,5383825.2
Japan,2019-Q3,103.7667255,5390791.9
Japan,2019-Q4,101.7443242,5285726
Japan,2020-Q1,101.1617356,5255459.9
Japan,2020-Q2,93.10548302,4836929
Japan,2020-Q3,98.14752595,5098868.5
Japan,2020-Q4,100.9255864,5243191.7
Japan,2021-Q1,99.86495176,5188090.6
Japan,2021-Q2,100.2308846,5207101.2
Japan,2021-Q3,99.4646231,5167293.1
United Kingdom,2007-Q1,92.64741516,2563323.1
United Kingdom,2007-Q2,93.07706354,2575210.4
United Kingdom,2007-Q3,93.71225988,2592784.7
United Kingdom,2007-Q4,94.07326457,2602772.8
United Kingdom,2008-Q1,94.64078225,2618474.6
United Kingdom,2008-Q2,94.21441931,2606678.2
United Kingdom,2008-Q3,92.81041863,2567833
United Kingdom,2008-Q4,90.94931137,2516340.8
United Kingdom,2009-Q1,89.3101829,2470990.2
United Kingdom,2009-Q2,89.02980709,2463232.9
United Kingdom,2009-Q3,89.08607526,2464789.7
United Kingdom,2009-Q4,89.36258372,2472440
United Kingdom,2010-Q1,89.98675631,2489709.3
United Kingdom,2010-Q2,91.00673975,2517929.7
United Kingdom,2010-Q3,91.64463963,2535578.8
United Kingdom,2010-Q4,91.75524229,2538638.9
