,iso,country,year,rgdpe,pop,gdpcap,value,total,perc_dir,direct,indirect,continent
0,AGO,Angola,2015,216207.0938,27.884381,7753.698881,26.2,0.228884131,,,,Africa
1,ALB,Albania,2015,32037.93555,2.890513,11083.82337,30.7,0.239856174,37.55988731,0.090089709,0.149766466,Europe
2,ARE,United Arab Emirates,2015,632701.1875,9.2629,68304.87077,40.1,0.156168029,,,,Asia
3,ARG,Argentina,2015,914850.1875,43.075416,21238.33668,34.3,0.314537237,44.86174015,0.141106878,0.17343036,South America
4,ARM,Armenia,2015,31316.5,2.925553,10704.47194,37.3,0.215749403,41.38223924,0.089281934,0.126467469,Asia
5,AUS,Australia,2015,1151138.75,23.932502,48099.39011,55.2,0.282406504,67.50922629,0.190650446,0.091756058,Oceania
6,AUT,Austria,2015,448794.7188,8.67866,51712.44394,54.1,0.437783312,71.52409415,0.313120548,0.124662764,Europe
7,AZE,Azerbaijan,2015,140176.6406,9.622745,14567.21971,30.1,0.165060684,40.89795009,0.067506436,0.097591026,Asia
9,BEL,Belgium,2015,531206.875,11.28794,47059.68272,50.9,0.464992009,74.38655761,0.345891548,0.11910046,Europe
10,BFA,Burkina Faso,2015,30886.20898,18.110624,1705.419371,28.7,0.135692767,25.96364544,0.035230789,0.10046198,Africa
11,BGD,Bangladesh,2015,563622.8125,156.256276,3607.041118,23.7,0.084983505,31.61253645,0.026865442,0.058118064,Asia
12,BGR,Bulgaria,2015,132515.7813,7.199741,18405.63171,42.2,0.289323941,46.97586105,0.135912412,0.15341154,Europe
13,BHR,Bahrain,2015,65725.46094,1.371851,47910.05797,37.7,0.010370021,10.62195424,0.001101499,,Asia
14,BIH,Bosnia and Herzegovina,2015,40599.22266,3.429361,11838.71358,32.3,0.376733843,49.2726208,0.185626638,0.191107205,Europe
15,BLR,Belarus,2015,185163.3438,9.439423,19615.95997,38.2,0.355821694,53.24693392,0.189464142,0.166357552,Europe
16,BOL,Bolivia,2015,79762.67969,10.86973,7338.055286,28.6,0.312957449,43.76996805,0.136981375,0.175976073,South America
17,BRA,Brazil,2015,3082948,204.471769,15077.62179,34.9,0.336773205,57.02355811,0.192040064,0.144733141,South America
18,BRB,Barbados,2015,4856.210449,0.285324,17019.98587,42.5,0.253976673,38.65551682,0.098175995,0.155800677,North America
19,BTN,Bhutan,2015,6730.043945,0.727876,9246.140751,26.1,0.140904402,56.91761368,0.080199423,0.069886576,Asia
20,BWA,Botswana,2015,33411.07031,2.120716,15754.61793,30.5,0.238933085,37.53581662,0.089685485,0.148562978,Africa
21,CAN,Canada,2015,1659691.75,36.026676,46068.41192,55.7,0.328203549,76.12043231,0.249829961,0.078373589,North America
22,CHE,Switzerland,2015,560735.3125,8.296775,67584.73172,68.3,0.267446204,76.96317219,0.205835082,0.061611121,Europe
23,CHL,Chile,2015,420353.7188,17.969353,23392.81324,41.2,0.187592868,,,,South America
24,CHN,China,2015,17866282,1406.84787,12699.51242,47.5,0.243274013,47.69386149,0.116026771,0.127247242,Asia
25,CMR,Cameroon,2015,77027.60938,23.298368,3306.137553,27.8,0.140637108,41.24904631,0.058011466,0.087705264,Africa
26,COL,Colombia,2015,639605.5,47.520667,13459.52278,36.4,0.199653407,,,,South America
27,CRI,Costa Rica,2015,83135.90625,4.847804,17149.18884,38.6,0.134126774,32.49041362,0.043578344,0.09054843,North America
28,CYP,Cyprus,2015,27367.92383,0.8477,32284.91663,43.5,0.241282711,42.89819471,0.103505927,0.137776784,Asia
29,DEU,Germany,2015,3915258.25,81.787411,47871.16015,57.1,0.386045113,71.62488594,0.276504372,0.109540741,Europe
30,DNK,Denmark,2015,278112.5313,5.688695,48888.63461,57.7,0.469795861,68.37195407,0.32120861,0.148587251,Europe
31,DOM,Dominican Republic,2015,153904.6094,10.28168,14968.81924,30.6,0.128375828,33.67647764,0.043232457,0.085143371,North America
33,ECU,Ecuador,2015,182674.2344,16.21202,11267.82686,26.9,0.156906536,30.38715599,0.047679434,0.109227102,South America
35,ESP,Spain,2015,1705106.375,46.671926,36533.87638,49.1,0.346473148,68.30585286,0.236661439,0.109811709,Europe
36,EST,Estonia,2015,40839.21484,1.315325,31048.76349,52.8,0.333146714,57.97856706,0.193153691,0.139993023,Europe
38,FIN,Finland,2015,237412.9219,5.481122,43314.65745,60,0.436672422,66.67713908,0.291160678,0.145511744,Europe
39,FJI,Fiji,2015,10835.93164,0.868627,12474.78105,27.3,0.237390176,25.95218383,0.061607935,0.175782241,Oceania
40,FRA,France,2015,2772463.25,66.596315,41630.88078,53.6,0.472208349,72.74084424,0.343488339,0.128720009,Europe
41,GBR,United Kingdom,2015,2913114.75,65.860146,44231.82952,62.4,0.337748461,65.82569048,0.222325256,0.115423204,Europe
42,GEO,Georgia,2015,45020.75,4.024183,11187.55037,33.8,0.236063062,44.17161832,0.104272875,0.131790187,Asia
43,GHA,Ghana,2015,148177.5313,27.849205,5320.709559,28,0.117407524,35.74045571,0.041961984,0.07544554,Africa
44,GIN,Guinea,2015,21981.26563,11.432088,1922.769106,18.5,0.130322502,34.19979019,0.044570022,0.08575248,Africa
45,GRC,Greece,2015,294728.5938,10.65975,27648.73414,40.3,0.398188632,62.57254902,0.249156777,0.149031855,Europe
46,GTM,Guatemala,2015,125767.7266,16.252429,7738.395692,28.8,0.108196274,37.29135929,0.040347861,0.067848413,North America
47,GUY,Guyana,2015,8686.389648,0.767432,11318.77436,30.7,0.161690543,,,0.100024101,South America
48,HND,Honduras,2015,44528.44531,9.112916,4886.300424,27.5,0.20823831,43.12222904,0.089797001,0.118441309,North America
49,HRV,Croatia,2015,99181.72656,4.232874,23431.29669,41.7,0.372053671,48.96996414,0.182194549,0.189859122,Europe
50,HUN,Hungary,2015,279525.0938,9.777923,28587.36909,43,0.388174476,55.11908031,0.213958201,0.174216275,Europe
51,IDN,Indonesia,2015,2660288.25,258.383256,10295.90033,29.8,0.10757975,48.62903226,0.052314991,0.055351516,Asia
52,IND,India,2015,7159239.5,1310.152403,5464.432599,31.7,0.168238663,32.11879699,0.054036235,0.114083418,Asia
53,IRL,Ireland,2015,351605.625,4.652425,75574.70029,59.1,0.240215996,65.97815288,0.158490077,0.081725919,Europe
54,IRN,Iran,2015,1064376.625,78.492215,13560.2827,28.4,0.069385703,54.25515796,0.037645323,0.031740293,Asia
55,ISL,Iceland,2015,16865.3457,0.330243,51069.50247,57,0.351386807,62.37467494,0.219176378,0.132210428,Europe
56,ISR,Israel,2015,306598.5938,7.97849,38428.1479,53.5,0.320231847,61.18264031,0.195926299,0.124305548,Asia
57,ITA,Italy,2015,2296760.75,60.578494,37913.79743,46.4,0.432414989,66.2211283,0.286350085,0.146064904,Europe
58,JAM,Jamaica,2015,24266.26367,2.891021,8393.665654,29.9,0.243371674,37.13364879,0.090372783,0.152998891,North America
59,JOR,Jordan,2015,89490.35156,9.266575,9657.327714,33.8,0.150187977,24.35171458,0.036573347,0.113614629,Asia
60,JPN,Japan,2015,5094436,127.985133,39804.90453,54,0.303946601,77.9092224,0.236802434,0.067144168,Asia
61,KAZ,Kazakhstan,2015,412876.625,17.572016,23496.2582,31.2,0.158912501,,,,Asia
62,KEN,Kenya,2015,160624.5625,47.878336,3354.848475,30.2,0.162599309,49.84980426,0.081055437,0.081543872,Africa
