,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/8f9dnOtpArDrOMEylpSN9Sc6fuz.jpg,"[12, 14, 10751]",674,en,Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",218.976,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,2005-11-16,Harry Potter and the Goblet of Fire,False,7.8,16400
1,False,/7J6iJrsXz5PpkTzNfLWM73u6EAy.jpg,"[878, 12, 28]",1895,en,Star Wars: Episode III - Revenge of the Sith,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,32.768,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,2005-05-17,Star Wars: Episode III - Revenge of the Sith,False,7.4,10881
2,False,/tuDhEdza074bA497bO9WFEPs6O6.jpg,"[12, 10751, 14]",411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",87.621,/kzJip9vndXYSKQHCgekrgqbnUrA.jpg,2005-12-07,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",False,7.1,8259
3,False,/nH6hPhJq3EEv9CnBZgXU3IQnpJo.jpg,"[12, 53, 878]",74,en,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",28.095,/oZmJ6hD2dc6zLCIPgw8onPMo0QC.jpg,2005-06-28,War of the Worlds,False,6.5,6561
4,False,/mRM2NB0i3wv4HqxXvwIjEVi4Qqq.jpg,"[12, 18, 28]",254,en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",31.92,/lBtlVlECMW98tz3a3O1C2s1vric.jpg,2005-12-12,King Kong,False,6.8,6304
5,False,/8NCftAWfkETwrbf7QwEaDH1xpus.jpg,"[10751, 16, 12, 35]",953,en,Madagascar,"Alex the lion is the king of the urban jungle, the main attraction at New York's Central Park Zoo. He and his best friends—Marty the zebra, Melman the giraffe and Gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world.",74.808,/uHkmbxb70IQhV4q94MiBe9dqVqv.jpg,2005-05-25,Madagascar,False,6.9,8710
6,False,/2YJOXPl4QtCskixYA58ToyCXEW0.jpg,"[28, 35, 18, 53]",787,en,Mr. & Mrs. Smith,"After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry.",28.093,/wzIO3ytxeSNt1wRpXLIdkNbGoDm.jpg,2005-06-07,Mr. & Mrs. Smith,False,6.7,8179
7,False,/bSvUW4JQ6g4QiKvwejcfcPRd4Ke.jpg,"[12, 35, 10751, 14]",118,en,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",114.918,/wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg,2005-07-13,Charlie and the Chocolate Factory,False,7.0,11959
8,False,/rpfHBSzExhIFcHHfSu1pelxqWkT.jpg,"[28, 16, 878]",143830,ja,イレギュラーハンターＸ,"The year is 21XX. Reploids are commonplace now, after Dr. Cain rediscovered Dr. Light's old lab and based several designs off of Dr.Light's original, called ""Megaman X."" X, meanwhile, has joined the Maverick Hunters, and works with unit leader Zero under the command of General Sigma. It is their job to terminate rogue reploids, those who have become violent.",2.962,/aeazw0wgTNWyvt48oA3OaM9dZXV.jpg,2005-12-15,Mega Man X: The Day of Sigma,False,9.0,2
9,False,/y9AuabF1SXnn3xZ0tAJLLhv33Uj.jpg,"[28, 80, 18]",272,en,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",57.16,/8RW2runSEc34IwKN2D1aPcJd2UL.jpg,2005-06-10,Batman Begins,False,7.7,16902
10,False,/a6tIX4fGgp60w2d9pqYRbFM91ne.jpg,"[35, 18, 10749]",8488,en,Hitch,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",17.447,/3ESvmnm6L01vE1mjZOK93LIj3vG.jpg,2005-02-11,Hitch,False,6.5,4647
11,False,/A5KyGSqq13eoW380LINMk8vQFuW.jpg,"[28, 12, 14, 878]",9738,en,Fantastic Four,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.",29.903,/8HLQLILZLhDQWO6JDpvY6XJLH75.jpg,2005-06-29,Fantastic Four,False,5.8,7726
