,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/uQqQvmptJLPTcWDrZXn22p7j7s3.jpg,"[28, 80, 18, 53]",395990,en,Death Wish,A mild-mannered father is transformed into a killing machine after his family is torn apart by a violent act.,32.964,/g0eEEZAqMf98ULQnoiORuazjOpn.jpg,2018-03-02,Death Wish,False,6.1,2047
1,False,/2it7SlRcp5UE0G38nL6oLMuqcAx.jpg,[27],681429,es,Cuidado con lo que deseas,"Pamela is an eight-year-old girl who loves horror movies and fairy tales. When his uncle gives her away a doll named ""Hellequin"" as a birthday gift, a tale of betrayal begins to unfold before her eyes.",32.963,/lG6Wx5tWOEHkOuexEvNYha3ofvM.jpg,2020-04-24,Be Careful What You Wish For,False,6.7,87
2,False,/DztBnZaqmla2sGUW9s8AyOmskT.jpg,[18],14,en,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",32.952,/wby9315QzVKdW9BonAefg8jGTTb.jpg,1999-09-15,American Beauty,False,8.0,9811
3,False,/vQYwarUtaeyDYgwmcaTJYX1yix2.jpg,"[35, 10749, 18]",549053,en,Last Christmas,"Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However, after she meets Tom there, her life takes a new turn.",32.95,/kDEjffiKgjuGo2DRzsqfjvW0CQh.jpg,2019-11-07,Last Christmas,False,7.3,1688
4,False,/1e5GyqXhpgfKZFI8lgAknJYKgQU.jpg,"[27, 53, 14]",431259,en,Escape Room,Four friends who partake in a popular Los Angeles escape room find themselves stuck with a demonically possessed killer. They have less than an hour to solve the puzzles needed to escape the room alive.,32.898,/dCthgwsV0AXIMqliQL6njAWf7Sb.jpg,2017-08-31,Escape Room,False,5.0,138
5,False,/AeMtzbw7shxtLvwKKqeITabpTrD.jpg,"[10751, 12, 16, 35]",137116,en,Smurfs: The Lost Village,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.",32.885,/diYAZ6CKUuRAqLYMB2AyVutEFm0.jpg,2017-03-23,Smurfs: The Lost Village,False,6.3,1135
6,False,/t69bPtfoOa0hCfbOQILHAdvJZni.jpg,"[27, 53, 9648]",329440,en,The Forest,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",32.877,/gevSrXe80v51mrE9bTk5eO1dLdU.jpg,2016-01-07,The Forest,False,5.2,1437
7,False,/uoSeaMBUSAmEscXEmC6GVSCTiLe.jpg,"[16, 878]",16306,fr,La Planète sauvage,"On the planet Ygam, the Draags, extremely technologically and spiritually advanced blue humanoids, consider the tiny Oms, human beings descendants of Terra's inhabitants, as ignorant animals. Those who live in slavery are treated as simple pets and used to entertain Draag children; those who live hidden in the hostile wilderness of the planet are periodically hunted and ruthlessly slaughtered as if they were vermin.",32.849,/prq0j1S0K07UjwLZLF6oMGflRUI.jpg,1973-12-01,Fantastic Planet,False,7.8,605
8,False,/9Y0d2D4wzR5F9nnJVqRQG0lqNTh.jpg,[18],453362,es,Los perros,"Mariana, an upper-class Chilean, feels a strange attraction towards her riding teacher, Juan, a former colonel with a shady past.",32.848,/qhZNSZjasVcgtzZ9s6cTj03X6xy.jpg,2017-10-12,Los perros,False,6.0,15
9,False,/7M760gmFwDqMV9NgROmFxXWHnDV.jpg,"[53, 28]",307479,en,88,"A young woman comes to in a roadside diner with no idea where she is or how she got there. Split between two timelines, she gets taken on a violent journey as she seeks out the person responsible for her lover's death.",32.844,/kbCZDINnj4rHhoZZUeXTsviYUkl.jpg,2015-01-06,88,False,5.2,78
