,year,iso,country,total,perc_dir,direct,indirect,rgdpe,pop,gdpcap
155,2015,ALB,Albania,23.9856174,37.55988731,0.090089709,0.149766466,32037.93555,2.890513,11083.82337
235,2015,ARG,Argentina,31.4537237,44.86174015,0.141106878,0.17343036,914850.1875,43.075416,21238.33668
275,2015,ARM,Armenia,21.5749403,41.38223924,0.089281934,0.126467469,31316.5,2.925553,10704.47194
315,2015,ATG,Antigua and Barbuda,17.2525907,17.31722359,0.029876697,0.14264921,1827.501953,0.093566,19531.68836
355,2015,AUS,Australia,28.2406504,67.50922629,0.190650446,0.091756058,1151138.75,23.932502,48099.39011
395,2015,AUT,Austria,43.7783312,71.52409415,0.313120548,0.124662764,448794.7188,8.67866,51712.44394
435,2015,AZE,Azerbaijan,16.5060684,40.89795009,0.067506436,0.097591026,140176.6406,9.622745,14567.21971
515,2015,BEL,Belgium,46.4992009,74.38655761,0.345891548,0.11910046,531206.875,11.28794,47059.68272
595,2015,BFA,Burkina Faso,13.5692767,25.96364544,0.035230789,0.10046198,30886.20898,18.110624,1705.419371
635,2015,BGD,Bangladesh,8.4983505,31.61253645,0.026865442,0.058118064,563622.8125,156.256276,3607.041118
675,2015,BGR,Bulgaria,28.9323941,46.97586105,0.135912412,0.15341154,132515.7813,7.199741,18405.63171
715,2015,BHR,Bahrain,1.0370021,10.62195424,0.001101499,,65725.46094,1.371851,47910.05797
755,2015,BHS,"Bahamas, The",12.8122961,19.84713899,0.025428742,0.102694219,12973.63867,0.374206,34669.77727
795,2015,BIH,Bosnia and Herzegovina,37.6733843,49.2726208,0.185626638,0.191107205,40599.22266,3.429361,11838.71358
835,2015,BLR,Belarus,35.5821694,53.24693392,0.189464142,0.166357552,185163.3438,9.439423,19615.95997
875,2015,BLZ,Belize,25.0824117,30.26345513,0.075908044,0.174916073,2684.850342,0.360933,7438.639143
915,2015,BOL,Bolivia,31.2957449,43.76996805,0.136981375,0.175976073,79762.67969,10.86973,7338.055286
955,2015,BRA,Brazil,33.6773205,57.02355811,0.192040064,0.144733141,3082948,204.471769,15077.62179
995,2015,BRB,Barbados,25.3976673,38.65551682,0.098175995,0.155800677,4856.210449,0.285324,17019.98587
1075,2015,BTN,Bhutan,14.0904402,56.91761368,0.080199423,0.069886576,6730.043945,0.727876,9246.140751
1115,2015,BWA,Botswana,23.8933085,37.53581662,0.089685485,0.148562978,33411.07031,2.120716,15754.61793
1155,2015,CAF,Central African Republic,6.0742555,21.51067323,0.013066133,0.047676423,3715.274414,4.49317,826.8715437
1195,2015,CAN,Canada,32.8203549,76.12043231,0.249829961,0.078373589,1659691.75,36.026676,46068.41192
1235,2015,CHE,Switzerland,26.7446204,76.96317219,0.205835082,0.061611121,560735.3125,8.296775,67584.73172
1315,2015,CHN,China,24.3274013,47.69386149,0.116026771,0.127247242,17866282,1406.84787,12699.51242
1395,2015,CMR,Cameroon,14.0637108,41.24904631,0.058011466,0.087705264,77027.60938,23.298368,3306.137553
1435,2015,COD,"Congo, Democratic Republic of the",9.1712481,39.52223607,0.036246823,0.055465657,72393.07031,76.244544,949.4852551
1595,2015,CPV,Cape Verde,18.6652468,32.64267648,0.060928361,0.125724044,3291.549561,0.524743,6272.688841
1635,2015,CRI,Costa Rica,13.4126774,32.49041362,0.043578344,0.09054843,83135.90625,4.847804,17149.18884
1675,2015,CYP,Cyprus,24.1282711,42.89819471,0.103505927,0.137776784,27367.92383,0.8477,32284.91663
1715,2015,CZE,Czechia,33.164371,65.27328364,0.21647474,0.115168971,376828.7813,10.601397,35545.20043
1755,2015,DEU,Germany,38.6045113,71.62488594,0.276504372,0.109540741,3915258.25,81.787411,47871.16015
1795,2015,DJI,Djibouti,14.2147806,43.25741757,0.06148947,0.080658336,4421.751465,0.913993,4837.839529
1835,2015,DMA,Dominica,21.7123288,21.35646688,0.046369863,0.170753425,830.1715698,0.071183,11662.49764
1875,2015,DNK,Denmark,46.9795861,68.37195407,0.32120861,0.148587251,278112.5313,5.688695,48888.63461
1915,2015,DOM,Dominican Republic,12.8375828,33.67647764,0.043232457,0.085143371,153904.6094,10.28168,14968.81924
1995,2015,ECU,Ecuador,15.6906536,30.38715599,0.047679434,0.109227102,182674.2344,16.21202,11267.82686
2075,2015,ESP,Spain,34.6473148,68.30585286,0.236661439,0.109811709,1705106.375,46.671926,36533.87638
2115,2015,EST,Estonia,33.3146714,57.97856706,0.193153691,0.139993023,40839.21484,1.315325,31048.76349
2195,2015,FIN,Finland,43.6672422,66.67713908,0.291160678,0.145511744,237412.9219,5.481122,43314.65745
2235,2015,FJI,Fiji,23.7390176,25.95218383,0.061607935,0.175782241,10835.93164,0.868627,12474.78105
2275,2015,FRA,France,47.2208349,72.74084424,0.343488339,0.128720009,2772463.25,66.596315,41630.88078
2355,2015,GBR,United Kingdom,33.7748461,65.82569048,0.222325256,0.115423204,2913114.75,65.860146,44231.82952
2395,2015,GEO,Georgia,23.6063062,44.17161832,0.104272875,0.131790187,45020.75,4.024183,11187.55037
2435,2015,GHA,Ghana,11.7407524,35.74045571,0.041961984,0.07544554,148177.5313,27.849205,5320.709559
2475,2015,GIN,Guinea,13.0322502,34.19979019,0.044570022,0.08575248,21981.26563,11.432088,1922.769106
2515,2015,GMB,"Gambia, The",11.6215155,25.22032902,0.029309844,0.086905311,4276.501953,2.08586,2050.234413
2635,2015,GRC,Greece,39.8188632,62.57254902,0.249156777,0.149031855,294728.5938,10.65975,27648.73414
2675,2015,GRD,Grenada,19.0118871,24.42360297,0.046433878,0.143684993,1550.413452,0.109599,14146.23721
2715,2015,GTM,Guatemala,10.8196274,37.29135929,0.040347861,0.067848413,125767.7266,16.252429,7738.395692
2795,2015,HKG,"Hong Kong, China",14.3686309,66.74405107,0.095902063,0.047784245,411350.6563,7.185996,57243.37395
2835,2015,HND,Honduras,20.823831,43.12222904,0.089797001,0.118441309,44528.44531,9.112916,4886.300424
2875,2015,HRV,Croatia,37.2053671,48.96996414,0.182194549,0.189859122,99181.72656,4.232874,23431.29669
2915,2015,HTI,Haiti,7.8724133,23.26467342,0.018314912,0.06040922,19364.86523,10.695542,1810.554831
2955,2015,HUN,Hungary,38.8174476,55.11908031,0.213958201,0.174216275,279525.0938,9.777923,28587.36909
2995,2015,IDN,Indonesia,10.757975,48.62903226,0.052314991,0.055351516,2660288.25,258.383256,10295.90033
3035,2015,IND,India,16.8238663,32.11879699,0.054036235,0.114083418,7159239.5,1310.152403,5464.432599
3075,2015,IRL,Ireland,24.0215996,65.97815288,0.158490077,0.081725919,351605.625,4.652425,75574.70029
3115,2015,IRN,Iran,6.9385703,54.25515796,0.037645323,0.031740293,1064376.625,78.492215,13560.2827
3195,2015,ISL,Iceland,35.1386807,62.37467494,0.219176378,0.132210428,16865.3457,0.330243,51069.50247
3235,2015,ISR,Israel,32.0231847,61.18264031,0.195926299,0.124305548,306598.5938,7.97849,38428.1479
3275,2015,ITA,Italy,43.2414989,66.2211283,0.286350085,0.146064904,2296760.75,60.578494,37913.79743
3315,2015,JAM,Jamaica,24.3371674,37.13364879,0.090372783,0.152998891,24266.26367,2.891021,8393.665654
3355,2015,JOR,Jordan,15.0187977,24.35171458,0.036573347,0.113614629,89490.35156,9.266575,9657.327714
3395,2015,JPN,Japan,30.3946601,77.9092224,0.236802434,0.067144168,5094436,127.985133,39804.90453
3475,2015,KEN,Kenya,16.2599309,49.84980426,0.081055437,0.081543872,160624.5625,47.878336,3354.848475
3515,2015,KGZ,Kyrgyzstan,25.3019938,44.3678659,0.112259547,0.140760391,23777.39258,5.959121,3990.083869
3555,2015,KHM,Cambodia,14.5828784,23.08826824,0.033669341,0.112159443,52112.45703,15.521436,3357.450756
3595,2015,KNA,Saint Kitts and Nevis,20.3557962,29.02043471,0.059073406,0.144484557,1295.583008,0.051203,25302.87303
3635,2015,KOR,"Korea, Republic of",23.7366802,61.61617445,0.146256343,0.091110459,1928056.875,50.823093,37936.63001
3715,2015,LAO,Lao People’s Democratic Republic,13.7678315,20.54760577,0.028289597,0.109397247,42214.90234,6.741164,6262.257133
3755,2015,LBN,Lebanon,13.6463222,40.93131768,0.055856195,0.080607027,96227.72656,6.532678,14730.21119
3835,2015,LCA,Saint Lucia,18.7095453,26.23166192,0.049078247,0.138017206,2468.509277,0.179126,13780.85413
3875,2015,LKA,Sri Lanka,12.5188789,20.26389453,0.025368124,0.099820665,242116.1563,20.908027,11580.05757
3915,2015,LSO,Lesotho,33.4238628,35.83778981,0.119783737,0.214454891,6286.059082,2.059021,3052.935877
3955,2015,LTU,Lithuania,28.993504,60.75469384,0.176149146,0.113785894,87529.28906,2.93188,29854.32182
3995,2015,LUX,Luxembourg,38.3428552,73.59138944,0.282170399,0.101258153,60377.27734,0.566741,106534.1617
4035,2015,LVA,Latvia,30.1884044,55.98298702,0.169003705,0.132880339,51517.39063,1.997674,25788.68756
4075,2015,MAC,"Macao, China",28.5656257,8.484176704,0.024235582,0.261420675,62493.57813,0.602085,103795.275
4115,2015,MAR,Morocco,21.211499,37.67748656,0.079919597,0.132195435,254067.5,34.663603,7329.517938
4155,2015,MDA,Moldova,26.5867832,46.5586961,0.123784596,0.142083236,27417.71094,4.0707,6735.379895
4195,2015,MDG,Madagascar,8.9453092,23.7849217,0.021276348,0.068176744,39040.92578,24.234088,1610.99216
4235,2015,MDV,Maldives,19.3073305,21.9324147,0.042345638,0.147560454,7713.655762,0.454915,16956.25724
4275,2015,MEX,Mexico,12.7823936,51.83553765,0.066258225,0.061565712,2303864.75,121.858258,18906.10278
4315,2015,MKD,North Macedonia,25.1899083,51.70454545,0.130243276,0.121655807,29697.72656,2.079328,14282.36746
4355,2015,MLI,Mali,13.9718343,30.55889145,0.042696377,0.097021966,35516.17969,17.438778,2036.620897
4395,2015,MLT,Malta,30.3025108,59.34859781,0.179841152,0.123183855,17455.76172,0.433559,40261.56006
4475,2015,MNE,Montenegro,36.0601915,44.38543247,0.16005472,0.200547196,10165.24805,0.626956,16213.65462
4515,2015,MNG,Mongolia,22.1205777,42.74555751,0.094555642,0.12669333,33554.57422,2.998439,11190.68096
4555,2015,MOZ,Mozambique,20.1643251,41.99066874,0.08467135,0.116971902,34358.85547,27.042002,1270.573661
4675,2015,MUS,Mauritius,8.9216942,25.59407592,0.022834252,0.06638269,25619.56055,1.259456,20341.76704
