,iso,country,year,spend,tax,continent
6,AUS,Australia,2019,26.55623258,22.56809618,Oceania
5,AUS,Australia,2014,26.20865525,21.16196081,Oceania
3,AUS,Australia,2004,25.60333701,24.02438418,Oceania
4,AUS,Australia,2009,25.16287253,23.93072759,Oceania
0,AUS,Australia,1989,24.93601839,22.81674295,Oceania
2,AUS,Australia,1999,23.93664944,22.0285614,Oceania
1,AUS,Australia,1994,23.89909969,21.08046182,Oceania
9,AUT,Austria,1999,47.86791823,26.1711044,Europe
10,AUT,Austria,2004,46.69908282,26.82435892,Europe
12,AUT,Austria,2014,46.44047106,25.89417797,Europe
11,AUT,Austria,2009,45.50019736,25.45181546,Europe
13,AUT,Austria,2019,44.55642223,25.7353588,Europe
8,AUT,Austria,1994,37.15248343,18.46995424,Europe
7,AUT,Austria,1989,36.32533735,18.03295153,Europe
15,BLR,Belarus,1994,32.64563502,23.97775161,Europe
18,BLR,Belarus,2009,32.60924542,22.01646229,Europe
14,BLR,Belarus,1989,31.63043478,20.54347826,Europe
20,BLR,Belarus,2019,28.72025738,13.79088216,Europe
19,BLR,Belarus,2014,27.78885986,14.30923467,Europe
16,BLR,Belarus,1999,27.32853645,18.64136357,Europe
17,BLR,Belarus,2004,26.87445942,16.52798118,Europe
27,BLZ,Belize,2019,26.70972397,25.65569234,North America
25,BLZ,Belize,2009,24.68854013,22.29889815,North America
26,BLZ,Belize,2014,24.46083321,23.85992078,North America
24,BLZ,Belize,2004,20.7024453,19.02985559,North America
23,BLZ,Belize,1999,19.14689069,19.00354067,North America
22,BLZ,Belize,1994,18.52475725,20.30048733,North America
21,BLZ,Belize,1989,16.66276597,21.45617769,North America
32,BTN,Bhutan,2009,21.18265716,8.726207903,Asia
33,BTN,Bhutan,2014,20.96487113,14.15446953,Asia
28,BTN,Bhutan,1989,20.70537284,6.369280072,Asia
30,BTN,Bhutan,1999,20.51648275,7.443595969,Asia
29,BTN,Bhutan,1994,19.93584419,5.541496257,Asia
34,BTN,Bhutan,2019,19.46115792,13.70016469,Asia
31,BTN,Bhutan,2004,19.26750186,9.251687846,Asia
36,CAN,Canada,1994,24.86107671,13.95624572,North America
35,CAN,Canada,1989,24.18740629,14.16312048,North America
37,CAN,Canada,1999,21.24503472,14.23791314,North America
38,CAN,Canada,2004,18.15037162,13.79810661,North America
40,CAN,Canada,2014,17.58788541,11.72660832,North America
41,CAN,Canada,2019,17.56859914,12.771222,North America
39,CAN,Canada,2009,17.5503968,12.93533942,North America
55,CHL,Chile,2019,22.27332774,17.6720934,South America
49,CHL,Chile,1989,21.56528445,16.24668561,South America
54,CHL,Chile,2014,20.02360944,17.9135002,South America
52,CHL,Chile,2004,19.68868133,16.14782693,South America
53,CHL,Chile,2009,17.6918272,18.20178364,South America
50,CHL,Chile,1994,16.62447045,15.24351427,South America
51,CHL,Chile,1999,16.62284455,15.64570982,South America
62,CRI,Costa Rica,2019,27.9630602,13.32745576,North America
61,CRI,Costa Rica,2014,26.03808598,13.14584774,North America
56,CRI,Costa Rica,1989,23.37974107,13.87431851,North America
59,CRI,Costa Rica,2004,23.10699975,13.30254693,North America
60,CRI,Costa Rica,2009,22.36446658,14.14982255,North America
58,CRI,Costa Rica,1999,21.72255823,12.69172824,North America
57,CRI,Costa Rica,1994,20.56297695,11.84725813,North America
66,CYP,Cyprus,2004,58.557831,36.68964047,Asia
67,CYP,Cyprus,2009,57.57718325,39.7967224,Asia
65,CYP,Cyprus,1999,50.92124845,30.9452616,Asia
64,CYP,Cyprus,1994,50.84138262,31.89511176,Asia
68,CYP,Cyprus,2014,42.41383119,23.62003689,Asia
69,CYP,Cyprus,2019,37.44690096,23.84456831,Asia
63,CYP,Cyprus,1989,27.00421178,17.06653824,Asia
72,CZE,Czech Republic,1999,38.12603815,15.17124412,Europe
73,CZE,Czech Republic,2004,36.04021506,14.83471115,Europe
75,CZE,Czech Republic,2014,35.14704703,14.52211989,Europe
74,CZE,Czech Republic,2009,33.11175156,14.11238414,Europe
76,CZE,Czech Republic,2019,32.53203958,14.84318964,Europe
70,CZE,Czech Republic,1989,30.99459616,18.74821125,Europe
71,CZE,Czech Republic,1994,30.7389388,17.70016592,Europe
89,DNK,Denmark,2014,42.10063045,33.8514337,Europe
86,DNK,Denmark,1999,39.95907343,31.85217522,Europe
85,DNK,Denmark,1994,38.43320402,30.14967306,Europe
90,DNK,Denmark,2019,37.71873447,33.41582644,Europe
87,DNK,Denmark,2004,36.79018883,30.66229938,Europe
88,DNK,Denmark,2009,36.57974574,33.32608798,Europe
84,DNK,Denmark,1989,36.19077052,31.86207184,Europe
97,DOM,Dominican Republic,2019,15.78851665,13.01623623,North America
96,DOM,Dominican Republic,2014,15.03096915,12.88429845,North America
95,DOM,Dominican Republic,2009,14.28651781,13.87523045,North America
94,DOM,Dominican Republic,2004,11.92223579,12.60573511,North America
91,DOM,Dominican Republic,1989,9.677601171,11.26064834,North America
93,DOM,Dominican Republic,1999,9.396063023,11.05774409,North America
92,DOM,Dominican Republic,1994,7.201332354,10.08931262,North America
98,EGY,"Egypt, Arab Rep.",1989,32.1086413,15.26665608,Africa
103,EGY,"Egypt, Arab Rep.",2014,30.37240726,13.24836444,Africa
104,EGY,"Egypt, Arab Rep.",2019,30.23036949,12.5192111,Africa
102,EGY,"Egypt, Arab Rep.",2009,29.97661805,15.24597711,Africa
99,EGY,"Egypt, Arab Rep.",1994,29.77102578,16.85289519,Africa
101,EGY,"Egypt, Arab Rep.",2004,27.15706089,13.53122572,Africa
100,EGY,"Egypt, Arab Rep.",1999,26.43505589,17.01687813,Africa
105,ETH,Ethiopia,1989,16.08524824,8.639189666,Africa
108,ETH,Ethiopia,2004,15.92217582,9.147840265,Africa
107,ETH,Ethiopia,1999,13.90388463,10.01034774,Africa
106,ETH,Ethiopia,1994,12.73222707,7.056148048,Africa
109,ETH,Ethiopia,2009,11.41837136,7.839023508,Africa
111,ETH,Ethiopia,2019,10.44446518,7.644798955,Africa
110,ETH,Ethiopia,2014,10.26357127,8.865415036,Africa
121,FJI,Fiji,1999,26.86662199,21.70698122,Oceania
125,FJI,Fiji,2019,26.34825686,23.69808096,Oceania
123,FJI,Fiji,2009,25.62027384,22.46114558,Oceania
